"DistrictCode","DistrictName","ZoneID"
"27",Kathmandu,1
"26",Bhaktapur,1
"25",Lalitpur,1
"24",Kavrepalanchok,1
"23",Sindhupalchok,1
"28",Nuwakot,1
"29",Rasuwa,1
"30",Dhading,1
"57",Banke,10
"58",Bardiya,10
"59",Surkhet,10
"60",Dailekh,10
"61",Jajarkot,10
"43",Myagdi,7
"44",Parbat,7
"45",Baglung,7
"36",Gorkha,8
"37",Lamjung,8
"38",Tanahun,8
"39",Syangja,8
"40",Kaski,8
"41",Manang,8
"42",Mustang,7
"22",Dolakha,2
"21",Ramechhap,2
"20",Sindhuli,2
"19",Sarlahi,2
"18",Mahottari,2
"17",Dhanusha,2
"62",Dolpa,11
"63",Jumla,11
"64",Kalikot,11
"65",Mugu,11
"66",Humla,11
"10",Bhojpur,4
"09",Sankhuwasabha,4
"08",Terhathum,4
"07",Dhankuta,4
"06",Sunsari,4
"05",Morang,4
"46",Gulmi,9
"47",Palpa,9
"48",Nawalparasi,9
"49",Rupandehi,9
"50",Kapilbastu,9
"51",Arghakhanchi,9
"72",Kanchanpur,13
"73",Dadeldhura,13
"74",Baitadi,13
"75",Darchula,13
"04",Jhapa,5
"03",Ilam,5
"02",Panchthar,5
"01",Taplejung,5
"31",Makwanpur,3
"32",Rautahat,3
"33",Bara,3
"34",Parsa,3
"35",Chitawan,3
"52",Pyuthan,12
"53",Rolpa,12
"54",Rukum,12
"55",Salyan,12
"56",Dang,12
"16",Siraha,6
"15",Saptari,6
"14",Udayapur,6
"13",Khotang,6
"12",Okhaldhunga,6
"11",Solukhumbu,6
"67",Bajura,14
"68",Bajhang,14
"69",Achham,14
"70",Doti,14
"71",Kailali,14
